Corporation,Lat,Long,Relevant incidents,Weapons
"Colt's Manufacturing, LLC",41.738788,-72.720783,"#2, #5",M16 and M4 assault rifles
"Sturm, Ruger & Co",41.140465,-73.276585,"#3, #8, #9, #10, #11, #12, #14",Ruger sniper rifles
"Combined Systems, Inc.",41.477679,-80.481641,"#4, #6",tear gas cannisters
Defense Technology Corp of America,42.87016,-106.34738,#4,tear gas cannister launchers
"Chemring Ordnance, Inc.",29.964959,-83.651685,#7,flares
"AMTEC Less-Lethal Systems, Inc.",30.202832,-83.64991,#7,munitions for flares
